MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Current assets,15% VAT IMPORT,29018129.75,29018129.75,0,0%,,29018129.75,
Total Assets,Current assets,15% VAT LOCAL INPUT,4695394.51,4695394.51,0,0%,1471215.19,3224179.32,219.20%
Total Assets,Current assets,15%_REVERSE_CHARGE,9481633.97,9481633.97,0,0%,7044928.9,2436705.07,34.60%
Total Assets,Current assets,Accrual - Service Charges Income,0,0,0,,913059.67,-913059.67,-100.00%
Total Assets,Current assets,AIR PRODUCTS Middle East Industrial Gases LLC,6040037.98,6040037.98,0,0%,8926838.23,-2886800.25,-32.30%
Total Assets,Current assets,Bid Bond Comm.,1809086.54,1809086.54,0,0%,904543.27,904543.27,100.00%
Total Assets,Current assets,"Boarding, Lodging & Travel",8119154.3,8119154.3,0,0%,4049407.21,4069747.08,100.50%
Total Assets,Current assets,"CHINA ENERGY ENGINEERING GROUP GUANGDONG POWER ENGINEERING (HONG KONG) Co., LTD",7389934.54,7389934.54,0,0%,,7389934.54,
Total Assets,Current assets,CHINA Energy Engineering Group Guangdong Power Engineering Co. Ltd (Dubai Branch),17158898.92,17158898.92,0,0%,8579449.46,8579449.46,100.00%
Total Assets,Current assets,"China Energy Engineering Group Zhejing Thermal Power Construction Co., LTD",17044691.63,17044691.63,0,0%,14100288.67,2944402.97,20.90%
Total Assets,Current assets,China Energy International Group Company Limited (Saudi Branch),60527707.97,60527707.97,0,0%,,60527707.97,
Total Assets,Current assets,"CHINA Gezhouba Group International Engineering Co., Ltd.",2804692.46,2804692.46,0,0%,1402346.23,1402346.23,100.00%
Total Assets,Current assets,Current Ac - JPM - LU570670006550206152-AP Treasury,9065157.74,9065157.74,0,0%,2753541.86,6311615.87,229.20%
Total Assets,Current assets,Current AC -AIICO-SCB- USD - SA2891000000101700232501,16512207.76,16512207.76,0,0%,,16512207.76,
Total Assets,Current assets,Current AC- API RIYADH-DIVERSITY VAM DUM-USD-AC 10207,4777106.45,4777106.45,0,0%,8416296.27,-3639189.83,-43.20%
Total Assets,Current assets,Current AC-AP CE-FAB USD-AC 1031001960717018,5986403.88,5986403.88,0,0%,,5986403.88,
Total Assets,Current assets,Current AC-AP CE-FAB-SAR-4031001960717001,9561822.44,9561822.44,0,0%,,9561822.44,
Total Assets,Current assets,Current AC-API CHINA-BANK OF CHINA-RMB-AC 8029225263080-Payment,0,0,0,,1348436.45,-1348436.45,-100.00%
Total Assets,Current assets,Current AC-API DUBAI-ICBC CHINA-USD-AC 0128000100000029209-Payment,0,0,0,,2684718.54,-2684718.54,-100.00%
Total Assets,Current assets,Current AC-API RIYADH-SABB-SAR-AC 011-290988-001-Payment,11382377.07,11382377.07,0,0%,2189865.48,9192511.59,419.80%
Total Assets,Current assets,Current AC-API RIYADH-SABB-USD-AC 011-290988-080-Payment,2039185.03,2039185.03,0,0%,3973428.55,-1934243.53,-48.70%
Total Assets,Current assets,Current AC-APID-USD-CBI-100012294076,2584754.75,2584754.75,0,0%,,2584754.75,
Total Assets,Current assets,Current AC-API-Riyadh ARAB BANK BAHRAIN-USD-BH91ARAB 02001002600510,2136412.09,2136412.09,0,0%,,2136412.09,
Total Assets,Current assets,Current AC-APP-DIVERSITY VAM DUM -USD-AC 10207,0,0,0,,17313734.29,-17313734.29,-100.00%
Total Assets,Current assets,Current AC-APP-SABB-SAR-AC 001-317544-001-Payment,2883325.8,2883325.8,0,0%,,2883325.8,
Total Assets,Current assets,Current AC-BARKA-Mashrek-USD-AC AE920330000019000046256-Payment,11878191.42,11878191.42,0,0%,,11878191.42,
Total Assets,Current assets,Current Account JPM - APGS - USD - 6550205613,3138975.69,3138975.69,0,0%,1828064.03,1310911.65,71.70%
Total Assets,Current assets,Current AC-SMOMCO-BSF-SAR-AC 608127-001-41-Payment,2161458.62,2161458.62,0,0%,,2161458.62,
Total Assets,Current assets,Development Fee,61163083.11,61163083.11,0,0%,30581541.56,30581541.56,100.00%
Total Assets,Current assets,"Doosan Enerbility Co., Ltd.",328845003,328845003,0,0%,,328845003,
Total Assets,Current assets,Employee personal loans recoverable,0,0,0,,935643.98,-935643.98,-100.00%
Total Assets,Current assets,External Parties (EPC / PM&A Fees),10542306.13,10542306.13,0,0%,1231589.94,9310716.19,756.00%
Total Assets,Current assets,Financial Consult.,57506915.98,57506915.98,0,0%,28753457.99,28753457.99,100.00%
Total Assets,Current assets,Fixed Deposit - ABC Islamic Bank E.C,0,0,0,,28052064.63,-28052064.63,-100.00%
Total Assets,Current assets,Fixed Deposit - AlInma SAR,0,0,0,,95751047.28,-95751047.28,-100.00%
Total Assets,Current assets,Fixed Deposit - AlRajhi SAR,0,0,0,,349902752.8,-349902752.8,-100.00%
Total Assets,Current assets,Fixed Deposit - ARAB BANK-Bahrain - SAR,0,0,0,,29922202.27,-29922202.27,-100.00%
Total Assets,Current assets,Fixed Deposit - BSF,0,0,0,,130311190.9,-130311190.9,-100.00%
Total Assets,Current assets,Fixed Deposit - CBI,164570197.5,164570197.5,0,0%,124284784.6,40285412.93,32.40%
Total Assets,Current assets,Fixed Deposit - FAB - USD,294374626,294374626,0,0%,2094554.16,292280071.8,13954.30%
Total Assets,Current assets,Fixed Deposit – SAIB USD,0,0,0,,157091561.9,-157091561.9,-100.00%
Total Assets,Current assets,Fixed Deposit - Saudi National Bank - SAR,2692998.2,2692998.2,0,0%,,2692998.2,
Total Assets,Current assets,Fixed Deposit - SCB  Islamic Bank - Dubai,0,0,0,,6852184.32,-6852184.32,-100.00%
Total Assets,Current assets,Fixed Deposit - Standard Chartered Bank - SAR,0,0,0,,11968880.91,-11968880.91,-100.00%
Total Assets,Current assets,Fixed Deposit- AlJazira,0,0,0,,112208258.5,-112208258.5,-100.00%
Total Assets,Current assets,Fixed Deposit- SABB,0,0,0,,8976660.68,-8976660.68,-100.00%
Total Assets,Current assets,Fixed Deposit-API RIYADH-SABB-SAR-AC 011-290988-001-FD,0,0,0,,17654099.34,-17654099.34,-100.00%
Total Assets,Current assets,Fixed Deposit-Riyad Bank-FD,0,0,0,,293424596.1,-293424596.1,-100.00%
Total Assets,Current assets,Fixed Deposits – SAIB SAR,0,0,0,,7480550.57,-7480550.57,-100.00%
Total Assets,Current assets,Green Technology Company,24648660.23,24648660.23,0,0%,,24648660.23,
Total Assets,Current assets,HDEC MIDDLE EAST CO DMCC,3014744.17,3014744.17,0,0%,17424113.55,-14409369.39,-82.70%
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks - ALRAJHI,0,0,0,,3259212.5,-3259212.5,-100.00%
Total Assets,Current assets,Interest receivables - Fixed / term deposits – Banks - CBI,2463102.45,2463102.45,0,0%,901028.32,1562074.14,173.40%
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks - RIYAD BANK,0,0,0,,2067828.33,-2067828.33,-100.00%
Total Assets,Current assets,Jakson Arabia Limited,0,0,0,,1548473.97,-1548473.97,-100.00%
Total Assets,Current assets,Larsen & Toubro International FZE,18135496.32,18135496.32,0,0%,1711175.94,16424320.38,959.80%
Total Assets,Current assets,Legal Consult.,105878319.4,105878319.4,0,0%,45749106.87,60129212.56,131.40%
Total Assets,Current assets,Other,3413585305,3413585305,0,0%,603874856.8,2809710448,465.30%
Total Assets,Current assets,Other Consult.,18295249.77,18295249.77,0,0%,9147624.88,9147624.88,100.00%
Total Assets,Current assets,Other Expenses,31903591.6,31903591.6,0,0%,15951795.8,15951795.8,100.00%
Total Assets,Current assets,Prepaid (C) - Housing Allowance,7203614.54,7203614.54,0,0%,9690967.85,-2487353.31,-25.70%
Total Assets,Current assets,Prepaid (C) - License Fee,3347595.33,3347595.33,0,0%,,3347595.33,
Total Assets,Current assets,Prepaid (C) - LNTP Payment,0,0,0,,2580789.95,-2580789.95,-100.00%
Total Assets,Current assets,Prepaid (C) - Medical Insurance,0,0,0,,1223605.19,-1223605.19,-100.00%
Total Assets,Current assets,Prepaid (C) - Other Insurance,5259290.22,5259290.22,0,0%,3539235.18,1720055.04,48.60%
