MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Current assets, AIR PRODUCTS Middle East Industrial Gases LLC,1148693.03,534757.45,613935.59,115%,428619.28,720073.75,168.00%
Total Assets,Current assets,15% VAT IMPORT,10442452.33,13252774.78,-2810322.45,-21%,33807.34,10408644.99,30788.10%
Total Assets,Current assets,15% VAT LOCAL INPUT,2730646.15,2209254.14,521392.01,24%,1477613.61,1253032.54,84.80%
Total Assets,Current assets,Accrual - Service Charges Income,10956009.44,6125111.42,4830898.02,79%,8994005.76,1962003.68,21.80%
Total Assets,Current assets,AIR PRODUCTS Middle East Industrial Gases LLC,2747324.28,1681205.31,1066118.98,63%,6555127.5,-3807803.21,-58.10%
Total Assets,Current assets,Bid Bond Comm.,5644254.99,5644254.99,0,0%,5643487.8,767.2,0.00%
Total Assets,Current assets,"Boarding, Lodging & Travel",17084745.89,17081963.63,2782.26,0%,17027543.6,57202.29,0.30%
Total Assets,Current assets,Branch of Arctech Investment (HK) Limited,1161355.48,0,1161355.48,,0,1161355.48,
Total Assets,Current assets,"CHINA ENERGY ENGINEERING GROUP GUANGDONG POWER ENGINEERING (HONG KONG) Co., LTD",2463311.51,1231655.76,1231655.76,100%,0,2463311.51,
Total Assets,Current assets,CHINA Energy Engineering Group Guangdong Power Engineering Co. Ltd (Dubai Branch),8579449.46,8579449.46,0,0%,8579449.46,0,0.00%
Total Assets,Current assets,"China Energy Engineering Group Zhejing Thermal Power Construction Co., LTD",8522345.82,8522345.82,0,0%,14530982.23,-6008636.41,-41.40%
Total Assets,Current assets,China Energy International Group Company Limited (Saudi Branch),28839942.46,33985739.52,-5145797.06,-15%,0,28839942.46,
Total Assets,Current assets,"CHINA Gezhouba Group International Engineering Co., Ltd.",1402346.23,1402346.23,0,0%,1402346.23,0,0.00%
Total Assets,Current assets,Current Ac - JPM - LU570670006550206152-AP Treasury,3404504.31,2719037.22,685467.09,25%,7378511.33,-3974007.01,-53.90%
Total Assets,Current assets,Current AC -AIICO-SCB- USD - SA2891000000101700232501,9068322.81,-10497222,19565544.81,186%,,9068322.81,
Total Assets,Current assets,Current AC- API RIYADH-DIVERSITY VAM DUM-USD-AC 10207,9732196.31,5543087.98,4189108.33,76%,26225825.04,-16493628.73,-62.90%
Total Assets,Current assets,Current AC-APGS-DIVERSITY VAM DUM -USD-AC 10207,1964012.27,0,1964012.27,,0,1964012.27,
Total Assets,Current assets,Current AC-API RIYADH-SABB-SAR-AC 011-290988-001-Payment,1993292.61,6786977.14,-4793684.53,-71%,37500155.69,-35506863.08,-94.70%
Total Assets,Current assets,Current AC-APID-USD-CBI-100012294076,1292377.38,1292377.38,0,0%,0,1292377.38,
Total Assets,Current assets,Current AC-APMI 1-SCB-USD-AC 02-2347322-01-Collection account,5227021.8,82090.08,5144931.72,6267%,2722988.89,2504032.91,92.00%
Total Assets,Current assets,Current AC-APP-DIVERSITY VAM DUM -USD-AC 10207,21377683.87,13619991.32,7757692.55,57%,34206320.44,-12828636.57,-37.50%
Total Assets,Current assets,Current AC-SMOMCO-BSF-SAR-AC 608127-001-41-Payment,1396842.27,761193.7,635648.56,84%,1215830.04,181012.23,14.90%
Total Assets,Current assets,Development fee,30581541.56,30581541.56,0,0%,30581541.56,0,0.00%
Total Assets,Current assets,Employee personal loans recoverable,939751.5,953509.11,-13757.62,-1%,1200374.97,-260623.47,-21.70%
