MAIN_CATEGORY,SUB_CATEGORY,Ground Level Name,Actual,PM Actual,PM Variance,PM Variance%,PY Actual,PY Variance,PY Variance%
Total Assets,Current assets,15% VAT IMPORT,13252774.78,10129227.7,3123547.09,31%,0,13252774.78,
Total Assets,Current assets,15% VAT LOCAL INPUT,2209254.14,1988597.15,220656.98,11%,1751142.66,458111.48,26.20%
Total Assets,Current assets,Accrual - Service Charges Income,6125111.42,1220668.13,4904443.29,402%,6454532.46,-329421.04,-5.10%
Total Assets,Current assets,AIR PRODUCTS Middle East Industrial Gases LLC,1681205.31,2186512.84,-505307.53,-23%,6067929.63,-4386724.33,-72.30%
Total Assets,Current assets,Bid Bond Comm.,5644254.99,5644255,-0.01,0%,5643487.8,767.2,0.00%
Total Assets,Current assets,"Boarding, Lodging & Travel",17081963.63,17065604.11,16359.52,0%,16945238.03,136725.6,0.80%
Total Assets,Current assets,"CHINA ENERGY ENGINEERING GROUP GUANGDONG POWER ENGINEERING (HONG KONG) Co., LTD",1231655.76,0,1231655.76,,0,1231655.76,
Total Assets,Current assets,CHINA Energy Engineering Group Guangdong Power Engineering Co. Ltd (Dubai Branch),8579449.46,8579449.46,0,0%,8579449.46,0,0.00%
Total Assets,Current assets,"China Energy Engineering Group Zhejing Thermal Power Construction Co., LTD",8522345.82,8522345.82,0,0%,14805682.29,-6283336.47,-42.40%
Total Assets,Current assets,China Energy International Group Company Limited (Saudi Branch),33985739.52,0,33985739.52,,0,33985739.52,
Total Assets,Current assets,"CHINA Gezhouba Group International Engineering Co., Ltd.",1402346.23,1402346.23,0,0%,1402346.23,0,0.00%
Total Assets,Current assets,Current Ac - JPM - LU570670006550206152-AP Treasury,2719037.22,95046.9,2623990.32,2761%,4559717.13,-1840679.91,-40.40%
Total Assets,Current assets,Current AC- API RIYADH-DIVERSITY VAM DUM-USD-AC 10207,5543087.98,5543087.98,0,0%,16219644.52,-10676556.54,-65.80%
Total Assets,Current assets,Current AC-API RIYADH-SABB-SAR-AC 011-290988-001-Payment,6786977.14,1135861.15,5651115.98,498%,3096089.7,3690887.44,119.20%
Total Assets,Current assets,Current AC-APID-USD-CBI-100012294076,1292377.38,2431761.25,-1139383.87,-47%,0,1292377.38,
Total Assets,Current assets,Current AC-APP-DIVERSITY VAM DUM -USD-AC 10207,13619991.32,13361912.33,258078.99,2%,27166685.37,-13546694.04,-49.90%
Total Assets,Current assets,Development fee,30581541.56,30581541.56,0,0%,37774090.93,-7192549.37,-19.00%
Total Assets,Current assets,Employee personal loans recoverable,953509.11,1084311.9,-130802.79,-12%,1203504.43,-249995.31,-20.80%
Total Assets,Current assets,External Parties (EPC / PM&A Fees),1231655.72,7900078.07,-6668422.35,-84%,29102137.92,-27870482.2,-95.80%
Total Assets,Current assets,Financial Consult.,38938923.5,38713402.92,225520.58,1%,37845876.87,1093046.63,2.90%
Total Assets,Current assets,Five Capital,3256515.32,3256515.32,0,0%,3256515.37,-0.05,0.00%
Total Assets,Current assets,Fixed Deposit - AlInma SAR,177822860.6,177822860.6,0,0%,0,177822860.6,
Total Assets,Current assets,Fixed Deposit - ANB - USD,25807899.46,14587073.61,11220825.85,77%,0,25807899.46,
Total Assets,Current assets,Fixed Deposit - BSF,42639138.24,115948533.8,-73309395.57,-63%,104727708,-62088569.72,-59.30%
Total Assets,Current assets,Fixed Deposit - CBI,82285098.74,82285098.74,0,0%,44174516.92,38110581.82,86.30%
Total Assets,Current assets,Fixed Deposit - FAB - USD,1256732.5,2663076,-1406343.51,-53%,0,1256732.5,
Total Assets,Current assets,Fixed Deposit – SAIB USD,22441651.71,127181328.6,-104739676.8,-82%,53859964.09,-31418312.39,-58.30%
Total Assets,Current assets,Fixed Deposit - Saudi National Bank - SAR,69120287.25,44883303.41,24236983.84,54%,17055655.3,52064631.96,305.30%
Total Assets,Current assets,Fixed Deposit - SCB  Islamic Bank - Dubai,5159979.68,5116696.59,43283.09,1%,8916816.28,-3756836.6,-42.10%
Total Assets,Current assets,Fixed Deposit-API RIYADH-SABB-SAR-AC 011-290988-001-FD,5984440.45,5984440.45,0,0%,70317175.34,-64332734.89,-91.50%
Total Assets,Current assets,Fixed Deposit-Riyad Bank-FD,418437836.6,418437836.6,-0.01,0%,0.01,418437836.6,3496048124900.00%
Total Assets,Current assets,Fixed Deposits – ANB SAR,101735487.7,125673249.6,-23937761.82,-19%,11968880.91,89766606.82,750.00%
Total Assets,Current assets,Fixed Deposits - Riyad Bank,89766606.82,89766606.82,0,0%,30221424.3,59545182.53,197.00%
Total Assets,Current assets,Fixed Deposits – SAIB SAR,61340514.66,64033512.87,-2692998.2,-4%,0,61340514.66,
Total Assets,Current assets,HDEC MIDDLE EAST CO DMCC,1756864.9,1756864.9,0,0%,39890841.56,-38133976.66,-95.60%
Total Assets,Current assets,Implementation - Professional Services,5399394.94,5084222.84,315172.1,6%,4081171.1,1318223.85,32.30%
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks - ANB,954736.12,429155.65,525580.47,122%,12268.1,942468.02,7682.30%
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks – INMA,1562246.3,637082.79,925163.51,145%,0,1562246.3,
Total Assets,Current assets,Interest receivables - Fixed / term deposits - Banks - RIYAD BANK,5861771.27,3355342.25,2506429.03,75%,355832.09,5505939.19,1547.30%
Total Assets,Current assets,Larsen & Toubro International FZE,6668422.36,20024385.1,-13355962.75,-67%,9199979.8,-2531557.44,-27.50%
Total Assets,Current assets,Legal Consult.,77803759.81,77584088.11,219671.7,0%,67302682.96,10501076.86,15.60%
Total Assets,Current assets,Licenses & Subscriptions,2034424.98,1379069.34,655355.64,48%,881561.87,1152863.11,130.80%
Total Assets,Current assets,Other,751659326.6,727206046,24453280.63,3%,494858464.4,256800862.3,51.90%
Total Assets,Current assets,Other Consult.,15449560.44,15406096.79,43463.65,0%,14668713.03,780847.41,5.30%
Total Assets,Current assets,Other Expenses,24222884.52,24222884.5,0.01,0%,23889474.54,333409.98,1.40%
Total Assets,Current assets,Prepaid (C) - Housing Allowance,1776584.1,2508008.03,-731423.93,-29%,3146580.76,-1369996.66,-43.50%
Total Assets,Current assets,Prepaid (C) - LC Commission,3039352.48,2117599.58,921752.9,44%,-60307.16,3099659.64,5139.80%
Total Assets,Current assets,Prepaid (C) - LNTP Payment,1010298.62,0,1010298.62,,5554308.8,-4544010.17,-81.80%
Total Assets,Current assets,Prepaid (C) - Other Insurance,2800481.15,2901103.01,-100621.86,-3%,3797797.6,-997316.45,-26.30%
Total Assets,Current assets,Prepaid (C) - Upfront Fee,1443122.9,1539123.3,-96000.4,-6%,11377806.76,-9934683.86,-87.30%
Total Assets,Current assets,Prepaid (C) – VAT Offshore,1650729.4,1650729.4,0,0%,1650729.4,0,0.00%
Total Assets,Current assets,SEPCO III Electric Power Construction,3569716.96,3569716.96,0,0%,3569716.96,0,0.00%
Total Assets,Current assets,SEPCOIII ELECTRIC POWER CONSTRUCTION CO. LTD (DMCC BRANCH),8255505.82,10538569.85,-2283064.03,-22%,18312314.18,-10056808.36,-54.90%
Total Assets,Current assets,Shanghai Electric HongKong Company Ltd,8445960.49,8445960.49,0,0%,8445960.49,0,0.00%
Total Assets,Current assets,Staff cost (allocated),297069426.6,293607524.6,3461901.95,1%,273630111.3,23439315.25,8.60%
Total Assets,Current assets,Technical Consult.,81201676.63,80639397,562279.63,1%,68788931.16,12412745.47,18.00%
Total Assets,Current assets,TIE JUN International (HK) Ltd.,14189952.05,14189952.05,0,0%,15214555.58,-1024603.53,-6.70%
Total Assets,Current assets,VAM AC-JPM-LU050670004000014814-API Riyadh-Capital Rec/Pmt,351156641.7,349473736.6,1682905.07,0%,306242187.3,44914454.37,14.70%
Total Assets,Current assets,VAM AC-JPM-LU140670004000014846--Capital Rec/Pmt,169941816,169941816,0,0%,163119553.9,6822262.12,4.20%
Total Assets,Current assets,VAM AC-JPM-LU160670004000054386-APGS-3rd Party Fee-reimb,41429667.98,41429667.98,0,0%,37795793.16,3633874.83,9.60%
Total Assets,Current assets,VAM AC-JPM-LU210670004000054393-JIZ1-APJE Capital Receipts-Payments,91301487.88,91301487.88,0,0%,54551471.05,36750016.83,67.40%
Total Assets,Current assets,VAM AC-JPM-LU220670004000014993-AP Conventional E Ltd-Capital Rec/Pmt,74782493.85,74782493.85,0,0%,57726838.55,17055655.3,29.50%
Total Assets,Current assets,VAM AC-JPM-LU290670004000014964-OASIS 2-IC -Reciept/Payment,1561623.56,1561623.56,0,0%,140474059.9,-138912436.3,-98.90%
Total Assets,Current assets,VAM AC-JPM-LU380670004000014802-API Dubai-Capital Rec/Pmt,87911430.28,87911430.28,0,0%,0,87911430.28,
Total Assets,Current assets,VAM AC-JPM-LU440670004000014791-APBH WLL-Capital Rec/Pmt,12490780.68,12490780.68,0,0%,7012422.87,5478357.81,78.10%
Total Assets,Current assets,VAM AC-JPM-LU480670004000014816-API Riyadh-3rd Party Fee-reimb,109374717.5,106911406,2463311.51,2%,22613065.05,86761652.47,383.70%
Total Assets,Current assets,VAM AC-JPM-LU510670004000014956-APCPPMA-Capital Rec/Pmt,148725320.9,148725320.9,0,0%,100784120.3,47941200.63,47.60%
Total Assets,Current assets,VAM AC-JPM-LU570670004000015139-Capital receipts-payments A/C,2995885.7,2995885.7,0,0%,0,2995885.7,
Total Assets,Current assets,VAM AC-JPM-LU640670004000015110-AP Taweelah -Reciept/Payment,12567324.96,12567324.96,0,0%,0,12567324.96,
Total Assets,Current assets,VAM AC-JPM-LU770670004000014973-APP-IC -Reciept/Payment,38131450.31,38131450.31,0,0%,83703341.69,-45571891.38,-54.40%
Total Assets,Current assets,VAM AC-JPM-LU800670004000015113-AP Green EH Ltd-Capital Rec/Pmt,46504162.85,46280011.8,224151.05,0%,491780.29,46012382.56,9356.30%
Total Assets,Current assets,VAM AC-JPM-LU830670004000014768-KAHROMAA-Capital Rec/Pmt,6620287.25,6620287.25,0,0%,0,6620287.25,
Total Assets,Current assets,VAM AC-JPM-LU870670004000101218-APEC-Third Party Receipt Fees-Reimb,353025707.9,352944155.5,81552.4,0%,193021049.5,160004658.4,82.90%
Total Assets,Current assets,VAM AC-JPM-LU870670004000101220-APEC-Capital Receipts-Payments,62545713.64,62545713.64,0,0%,58955049.37,3590664.27,6.10%
Total Assets,Current assets,VAM AC-JPM-LU980670004000014983-APSEWD Company-IC -Reciept/Payment,67045945.07,28163779.08,38882165.99,138%,114755552.7,-47709607.58,-41.60%
Total Assets,Non current assets, Power SAP Success Factors Implementation - HCM system,164946.14,164946.14,0,0%,98967.68,65978.46,66.70%
Total Assets,Non current assets,Adjustment for Common Control Transactions,-193523751.9,-193523751.9,0,0%,-193523751.9,0,0.00%
Total Assets,Non current assets,Advances against investment,4226487952,4254188210,-27700258.79,-1%,4003920735,222567216.4,5.60%
Total Assets,Non current assets,Automating of Contract Management AR,0,0,0,,0,0,
Total Assets,Non current assets,Cost of investment,2614851707,2614861582,-9874.45,0%,2733532158,-118680451,-4.30%
Total Assets,Non current assets,Enterprise Data Management Cloud Service,32465.59,20936.68,11528.91,55%,20936.68,11528.91,55.10%
Total Assets,Non current assets,Enterprise Planning and Budgeting Cloud Service (EPBCS),0,0,0,,39646.92,-39646.92,-100.00%
Total Assets,Non current assets,Fixed Asset Default Account,37724712.99,37886687.37,-161974.38,0%,35921430.4,1803282.59,5.00%
Total Assets,Non current assets,FV of interest rate swaps [IRS] (Asset - NC),4025194.2,4025194.2,0,0%,115722561.6,-111697367.4,-96.50%
Total Assets,Non current assets,GRC Tool,0,0,0,,36138.84,-36138.84,-100.00%
Total Assets,Non current assets,Hassyan Derivative adjustment,18011785.93,18011785.93,0,0%,18011785.93,0,0.00%
Total Assets,Non current assets,Investment in shares assigned,522030.22,522030.22,0,0%,0,522030.22,
Total Assets,Non current assets,Laptops,0,0,0,,0,0,
Total Assets,Non current assets,LNTP,55876625.96,55180094.32,696531.64,1%,0,55876625.96,
Total Assets,Non current assets,MISA/Shareek Grant - NGHC - 1st Tranch,-35368043.09,-35368043.09,0,0%,0,-35368043.09,
Total Assets,Non current assets,Mobile & Tablets,4057.45,0,4057.45,,0,4057.45,
Total Assets,Non current assets,Other,6345630286,6086530568,259099717.5,4%,5829653735,515976551,8.90%
Total Assets,Non current assets,Office Building,8093.96,8093.96,0,0%,8093.96,0,0.00%
Total Assets,Non current assets,Office Interior and fittings,220319.08,220319.08,0,0%,2269875.9,-2049556.82,-90.30%
Total Assets,Non current assets,Oracle Fusion,212997.52,211042.08,1955.43,1%,173374.78,39622.73,22.90%
Total Assets,Non current assets,Prepaid (NC) - License Fee,0,0,0,,0,0,
